,label,begin,end,dynasty,monarch,monarchName,reignTitle,uri,last_year
82,东汉元初,114,120.0,东汉,安帝,刘祜,元初,http://data.library.sh.cn/authority/temporal/y327ur9vlbyyvvy8,6
83,东汉永宁,120,121.0,东汉,安帝,刘祜,永宁,http://data.library.sh.cn/authority/temporal/8rvkaod8323x12b9,1
84,东汉建光,121,122.0,东汉,安帝,刘祜,建光,http://data.library.sh.cn/authority/temporal/q3gsqapzittbtpc1,1
85,东汉延光,122,125.0,东汉,安帝,刘祜,延光,http://data.library.sh.cn/authority/temporal/q2w9c3jr1hnupbbt,3
86,东汉,125,125.0,东汉,少帝,刘懿,,http://data.library.sh.cn/authority/temporal/s14e7glq62u3xwds,0
87,东汉永建,126,132.0,东汉,顺帝,刘保,永建,http://data.library.sh.cn/authority/temporal/h9yj335z1oteznb7,6
88,东汉阳嘉,132,135.0,东汉,顺帝,刘保,阳嘉,http://data.library.sh.cn/authority/temporal/xnq9d3jqlmbd6gug,3
89,东汉永和,136,141.0,东汉,顺帝,刘保,永和,http://data.library.sh.cn/authority/temporal/sssvxjxhmtknbymi,5
90,东汉汉安,142,144.0,东汉,顺帝,刘保,汉安,http://data.library.sh.cn/authority/temporal/roiqzdzhkoaqefgi,2
91,东汉建康,144,144.0,东汉,顺帝,刘保,建康,http://data.library.sh.cn/authority/temporal/ter4rksetozjnz92,0
92,东汉永熹,145,145.0,东汉,冲帝,刘炳,永嘉;永熹,http://data.library.sh.cn/authority/temporal/r99evaoyvnyxd1ig,0
93,东汉本初,146,146.0,东汉,质帝,刘缵,本初,http://data.library.sh.cn/authority/temporal/4l3vtnx424q8tlr6,0
94,东汉建和,147,149.0,东汉,桓帝,刘志,建和,http://data.library.sh.cn/authority/temporal/ubpxfofgbbsvhf4s,2
95,东汉和平,150,150.0,东汉,桓帝,刘志,和平,http://data.library.sh.cn/authority/temporal/of1lh6dt6ifpfui3,0
96,东汉元嘉,151,153.0,东汉,桓帝,刘志,元嘉,http://data.library.sh.cn/authority/temporal/63pzgdjtk5y3eemx,2
97,东汉永兴,153,154.0,东汉,桓帝,刘志,永兴,http://data.library.sh.cn/authority/temporal/g6y5zkfcffwdgfjc,1
98,东汉永寿,155,158.0,东汉,桓帝,刘志,永寿,http://data.library.sh.cn/authority/temporal/jzkg1ti4cduxg77c,3
99,东汉延熹,158,167.0,东汉,桓帝,刘志,延熹,http://data.library.sh.cn/authority/temporal/ucxqw22r9rlqdrvg,9
100,东汉永康,167,167.0,东汉,桓帝,刘志,永康,http://data.library.sh.cn/authority/temporal/xitn3m4455ch7old,0
101,东汉建宁,168,172.0,东汉,灵帝,刘宏,建宁,http://data.library.sh.cn/authority/temporal/31evc3dckxhz5stl,4
102,东汉熹平,172,178.0,东汉,灵帝,刘宏,熹平,http://data.library.sh.cn/authority/temporal/8nsnanuuce1y39ev,6
103,东汉光和,178,184.0,东汉,灵帝,刘宏,光和,http://data.library.sh.cn/authority/temporal/4f9sf324pgytb1na,6
104,东汉中平,184,189.0,东汉,灵帝,刘宏,中平,http://data.library.sh.cn/authority/temporal/pjkmnj8bsey3fdmh,5
105,东汉昭宁,189,189.0,东汉,少帝,刘辩,昭宁,http://data.library.sh.cn/authority/temporal/jswab2u8hs58x3cj,0
106,东汉光熹,189,189.0,东汉,少帝,刘辩,光熹,http://data.library.sh.cn/authority/temporal/potpou9tyvscsxci,0
107,东汉初平,190,193.0,东汉,献帝,刘协,初平,http://data.library.sh.cn/authority/temporal/2nbwjubbybl8i737,3
108,东汉永汉,190,190.0,东汉,献帝,刘协,永汉,http://data.library.sh.cn/authority/temporal/iinjqup2n2t1cbj5,0
109,东汉中平,190,190.0,东汉,献帝,刘协,中平,http://data.library.sh.cn/authority/temporal/m3ddhrxgnvggjh4s,0
110,东汉兴平,194,195.0,东汉,献帝,刘协,兴平,http://data.library.sh.cn/authority/temporal/7uva5d64p8ygi6t5,1
111,东汉建安,196,220.0,东汉,献帝,刘协,建安,http://data.library.sh.cn/authority/temporal/lzc4y2b5ax7xsnxt,24
112,东汉延康,220,220.0,东汉,献帝,刘协,延康,http://data.library.sh.cn/authority/temporal/elk4kx9r4hh9jbjs,0
113,东汉,25,220.0,东汉,,,,http://data.library.sh.cn/authority/temporal/kefbb8iphd4t5e3c,195
114,东汉建武,25,56.0,东汉,光武帝,刘秀,建武,http://data.library.sh.cn/authority/temporal/metvom7i4f3twkxi,31
115,东汉建武中元,56,57.0,东汉,光武帝,刘秀,建武中元,http://data.library.sh.cn/authority/temporal/e1aj1pmqdlhx31r6,1
116,东汉永平,58,75.0,东汉,明帝,刘庄,永平,http://data.library.sh.cn/authority/temporal/z8s6pvs3m67uy225,17
117,东汉建初,76,84.0,东汉,章帝,刘炟,建初,http://data.library.sh.cn/authority/temporal/eal933hknyargdov,8
118,东汉元和,84,87.0,东汉,章帝,刘炟,元和,http://data.library.sh.cn/authority/temporal/jk6sz1c4rwq46681,3
119,东汉章和,87,88.0,东汉,章帝,刘炟,章和,http://data.library.sh.cn/authority/temporal/yriovof8vl4vs2ra,1
120,东汉永元,89,105.0,东汉,和帝,刘肇,永元,http://data.library.sh.cn/authority/temporal/jufq85c8f9i8htfl,16
121,东汉元兴,105,105.0,东汉,和帝,刘肇,元兴,http://data.library.sh.cn/authority/temporal/hg4esek9whs583se,0
122,东汉延平,106,106.0,东汉,殇帝,刘隆,延平,http://data.library.sh.cn/authority/temporal/lymxqmb5htjeqgaa,0
123,东汉永初,107,113.0,东汉,安帝,刘祜,永初,http://data.library.sh.cn/authority/temporal/m3g5mw8dmmxizvmy,6
124,东汉元初,114,120.0,东汉,安帝,刘祜,元初,http://data.library.sh.cn/authority/temporal/y327ur9vlbyyvvy8,6
125,东汉永宁,120,121.0,东汉,安帝,刘祜,永宁,http://data.library.sh.cn/authority/temporal/8rvkaod8323x12b9,1
126,东汉建光,121,122.0,东汉,安帝,刘祜,建光,http://data.library.sh.cn/authority/temporal/q3gsqapzittbtpc1,1
127,东汉延光,122,125.0,东汉,安帝,刘祜,延光,http://data.library.sh.cn/authority/temporal/q2w9c3jr1hnupbbt,3
128,东汉,125,125.0,东汉,少帝,刘懿,,http://data.library.sh.cn/authority/temporal/s14e7glq62u3xwds,0
129,东汉永建,126,132.0,东汉,顺帝,刘保,永建,http://data.library.sh.cn/authority/temporal/h9yj335z1oteznb7,6
130,东汉阳嘉,132,135.0,东汉,顺帝,刘保,阳嘉,http://data.library.sh.cn/authority/temporal/xnq9d3jqlmbd6gug,3
131,东汉永和,136,141.0,东汉,顺帝,刘保,永和,http://data.library.sh.cn/authority/temporal/sssvxjxhmtknbymi,5
132,东汉汉安,142,144.0,东汉,顺帝,刘保,汉安,http://data.library.sh.cn/authority/temporal/roiqzdzhkoaqefgi,2
133,东汉建康,144,144.0,东汉,顺帝,刘保,建康,http://data.library.sh.cn/authority/temporal/ter4rksetozjnz92,0
134,东汉永熹,145,145.0,东汉,冲帝,刘炳,永嘉;永熹,http://data.library.sh.cn/authority/temporal/r99evaoyvnyxd1ig,0
135,东汉本初,146,146.0,东汉,质帝,刘缵,本初,http://data.library.sh.cn/authority/temporal/4l3vtnx424q8tlr6,0
136,东汉建和,147,149.0,东汉,桓帝,刘志,建和,http://data.library.sh.cn/authority/temporal/ubpxfofgbbsvhf4s,2
137,东汉和平,150,150.0,东汉,桓帝,刘志,和平,http://data.library.sh.cn/authority/temporal/of1lh6dt6ifpfui3,0
138,东汉元嘉,151,153.0,东汉,桓帝,刘志,元嘉,http://data.library.sh.cn/authority/temporal/63pzgdjtk5y3eemx,2
139,东汉永兴,153,154.0,东汉,桓帝,刘志,永兴,http://data.library.sh.cn/authority/temporal/g6y5zkfcffwdgfjc,1
140,东汉永寿,155,158.0,东汉,桓帝,刘志,永寿,http://data.library.sh.cn/authority/temporal/jzkg1ti4cduxg77c,3
141,东汉延熹,158,167.0,东汉,桓帝,刘志,延熹,http://data.library.sh.cn/authority/temporal/ucxqw22r9rlqdrvg,9
142,东汉永康,167,167.0,东汉,桓帝,刘志,永康,http://data.library.sh.cn/authority/temporal/xitn3m4455ch7old,0
143,东汉建宁,168,172.0,东汉,灵帝,刘宏,建宁,http://data.library.sh.cn/authority/temporal/31evc3dckxhz5stl,4
144,东汉熹平,172,178.0,东汉,灵帝,刘宏,熹平,http://data.library.sh.cn/authority/temporal/8nsnanuuce1y39ev,6
145,东汉光和,178,184.0,东汉,灵帝,刘宏,光和,http://data.library.sh.cn/authority/temporal/4f9sf324pgytb1na,6
146,东汉中平,184,189.0,东汉,灵帝,刘宏,中平,http://data.library.sh.cn/authority/temporal/pjkmnj8bsey3fdmh,5
147,东汉昭宁,189,189.0,东汉,少帝,刘辩,昭宁,http://data.library.sh.cn/authority/temporal/jswab2u8hs58x3cj,0
148,东汉光熹,189,189.0,东汉,少帝,刘辩,光熹,http://data.library.sh.cn/authority/temporal/potpou9tyvscsxci,0
149,东汉初平,190,193.0,东汉,献帝,刘协,初平,http://data.library.sh.cn/authority/temporal/2nbwjubbybl8i737,3
150,东汉永汉,190,190.0,东汉,献帝,刘协,永汉,http://data.library.sh.cn/authority/temporal/iinjqup2n2t1cbj5,0
151,东汉中平,190,190.0,东汉,献帝,刘协,中平,http://data.library.sh.cn/authority/temporal/m3ddhrxgnvggjh4s,0
152,东汉兴平,194,195.0,东汉,献帝,刘协,兴平,http://data.library.sh.cn/authority/temporal/7uva5d64p8ygi6t5,1
153,东汉建安,196,220.0,东汉,献帝,刘协,建安,http://data.library.sh.cn/authority/temporal/lzc4y2b5ax7xsnxt,24
154,东汉延康,220,220.0,东汉,献帝,刘协,延康,http://data.library.sh.cn/authority/temporal/elk4kx9r4hh9jbjs,0
155,三国,220,280.0,三国,,,,http://data.library.sh.cn/authority/temporal/itrusbdhm298q5ma,60
156,魏黄初,220,226.0,魏,文帝,曹丕,黄初,http://data.library.sh.cn/authority/temporal/3hpz3j7lhoa9lo2s,6
157,蜀章武,221,223.0,蜀,昭烈帝,刘备,章武,http://data.library.sh.cn/authority/temporal/llyuoid3txxtpfwp,2
158,吴黄武,221,229.0,吴,大帝,孙权,黄武,http://data.library.sh.cn/authority/temporal/g2l9j7kfmwgxz4mg,8
159,蜀建兴,223,237.0,蜀,后主,刘禅,建兴,http://data.library.sh.cn/authority/temporal/wuktvssycocu8fjn,14
160,魏太和,227,233.0,魏,明帝,曹叡,太和,http://data.library.sh.cn/authority/temporal/ajmjadmihg756fng,6
161,吴黄龙,229,231.0,吴,大帝,孙权,黄龙,http://data.library.sh.cn/authority/temporal/allcmev5fbjhyiy2,2
162,吴嘉禾,232,238.0,吴,大帝,孙权,嘉禾,http://data.library.sh.cn/authority/temporal/j4y4bnynkpsmod36,6
163,魏青龙,233,237.0,魏,明帝,曹叡,青龙,http://data.library.sh.cn/authority/temporal/17v5iwxkghruesi4,4
164,绍汉,237,238.0,,,公孙渊,绍汉,http://data.library.sh.cn/authority/temporal/2lf53wanwotdwo7v,1
165,魏景初,237,239.0,魏,明帝,曹叡,景初,http://data.library.sh.cn/authority/temporal/1vzod8qyrqsvkdnu,2
166,蜀延熙,238,257.0,蜀,后主,刘禅,延熙,http://data.library.sh.cn/authority/temporal/o7zeyzpeiluw83x5,19
167,吴赤乌,238,251.0,吴,大帝,孙权,赤乌,http://data.library.sh.cn/authority/temporal/3dksy1e3c41r8aei,13
168,魏正始,240,249.0,魏,齐王,曹芳,正始,http://data.library.sh.cn/authority/temporal/u9zfduvzay8dynrq,9
169,魏嘉平,249,254.0,魏,齐王,曹芳,嘉平,http://data.library.sh.cn/authority/temporal/7p1z9zmfivj69ofi,5
170,吴太元,251,252.0,吴,大帝,孙权,太元,http://data.library.sh.cn/authority/temporal/jr9sqm5uxzzeqkxg,1
171,吴神凤,252,253.0,吴,大帝,孙权,神凤,http://data.library.sh.cn/authority/temporal/lyo4cogjz5ugb8z4,1
172,吴建兴,253,254.0,吴,会稽王,孙亮,建兴,http://data.library.sh.cn/authority/temporal/uvt7oja3w43yxp13,1
173,魏正元,254,256.0,魏,高贵乡公,曹髦,正元,http://data.library.sh.cn/authority/temporal/cx2ptalo1uinv96w,2
174,吴五凤,255,256.0,吴,会稽王,孙亮,五凤,http://data.library.sh.cn/authority/temporal/h6c9xfwwy12ogt57,1
175,吴太平,256,258.0,吴,会稽王,孙亮,太平,http://data.library.sh.cn/authority/temporal/mvie799e3o8u9a1t,2
176,魏甘露,256,260.0,魏,高贵乡公,曹髦,甘露,http://data.library.sh.cn/authority/temporal/o1ivfu6yxd7bm6vz,4
177,蜀景耀,258,263.0,蜀,后主,刘禅,景耀,http://data.library.sh.cn/authority/temporal/3q48vmcp77qxmn8x,5
178,吴永安,258,264.0,吴,景帝,孙休,永安,http://data.library.sh.cn/authority/temporal/s9eqqybeqe3prn2b,6
179,魏景元,260,264.0,魏,元帝,曹奂,景元,http://data.library.sh.cn/authority/temporal/xatay5vxkgcvvgmd,4
180,蜀炎兴,263,263.0,蜀,后主,刘禅,炎兴,http://data.library.sh.cn/authority/temporal/vdd9pi5aikzzcycb,0
181,魏咸熙,264,265.0,魏,元帝,曹奂,咸熙,http://data.library.sh.cn/authority/temporal/x6c9vvq9dovilqc8,1
182,吴元兴,264,265.0,吴,末帝,孙皓,元兴,http://data.library.sh.cn/authority/temporal/yqtsrzmslys4tgfb,1
183,吴甘露,265,266.0,吴,末帝,孙皓,甘露,http://data.library.sh.cn/authority/temporal/sbds3qfwal9rprs7,1
184,吴宝鼎,266,269.0,吴,末帝,孙皓,宝鼎,http://data.library.sh.cn/authority/temporal/loitp8mdyag3nnq1,3
185,吴建衡,269,271.0,吴,末帝,孙皓,建衡,http://data.library.sh.cn/authority/temporal/xtq5p7j67uxk5zl4,2
186,吴凤凰,272,274.0,吴,末帝,孙皓,凤凰,http://data.library.sh.cn/authority/temporal/sxuxkw1tj3z5x2eh,2
187,吴天册,275,276.0,吴,末帝,孙皓,天册,http://data.library.sh.cn/authority/temporal/crwlsawe8lwszhlt,1
188,吴天玺,276,276.0,吴,末帝,孙皓,天玺,http://data.library.sh.cn/authority/temporal/touo8kfomvtxc2ld,0
