,ownerOfSeal,label_clean,length,印,章,之印,之章,私印,印信,考藏印,藏书印,藏书之印,书画印,图书印
171,蒋祖诒,密韵楼,3,,,,,,,,,,,
172,孙承泽,北海孙氏珍藏书画印,9,1,,,,,,,,,1,
173,张大千,乙卯,2,,,,,,,,,,,
174,蒲华,秀水蒲华,4,,,,,,,,,,,
175,汪士慎,巢林,2,,,,,,,,,,,
176,程庭鹭,梅筏,2,,,,,,,,,,,
177,董诰,董诰,2,,,,,,,,,,,
178,孙星衍,孙星衍印,4,1,,,,,,,,,,
179,吴云,平斋审定,4,,,,,,,,,,,
180,叶德荣,叶德荣甫世藏,6,,,,,,,,,,,
181,沈曾植,寐叟图书记,5,,,,,,,,,,,
182,伍元蕙,南海伍氏南雪楼秘笈之印,11,1,,1,,,,,,,,
183,寿石工,正燕子新来海棠微绽,9,,,,,,,,,,,
184,齐白石,乃翁过目,4,,,,,,,,,,,
185,郑旼,遣苏郑旼慕倩,6,,,,,,,,,,,
186,徐渭仁,沪上徐渭仁字紫珊印,9,1,,,,,,,,,,
187,张伯英,伯英之印,4,1,,1,,,,,,,,
188,潘祖荫,滂喜斋,3,,,,,,,,,,,
189,岑槠,仲陶,2,,,,,,,,,,,
190,梁清标,河北棠村,4,,,,,,,,,,,
191,陆维钊,陆维钊,3,,,,,,,,,,,
192,吴昌硕,破荷亭,3,,,,,,,,,,,
193,王森然,王森然,3,,,,,,,,,,,
194,张复,张复,2,,,,,,,,,,,
195,乔大壮,乔大壮获观,5,,,,,,,,,,,
196,李盛铎,木斋宋元秘籍,6,,,,,,,,,,,
197,边寿民,维祺颐公,4,,,,,,,,,,,
198,曹贞秀,墨琴,2,,,,,,,,,,,
199,法若真,法若真印,4,1,,,,,,,,,,
200,齐白石,鲁班门下,4,,,,,,,,,,,
201,陆恢,去懒,2,,,,,,,,,,,
202,钱君匋,钱君匋,3,,,,,,,,,,,
203,齐白石,苹翁管领字画,6,,,,,,,,,,,
204,寿石工,寿,1,,,,,,,,,,,
205,吴昌硕,七十老翁,4,,,,,,,,,,,
206,李可染,可染,2,,,,,,,,,,,
207,樊圻,樊圻之印字曰会公,8,,,,,,,,,,,
208,张大千,三千大千,4,,,,,,,,,,,
209,陆治,包山子,3,,,,,,,,,,,
210,高其佩,且道人,3,,,,,,,,,,,
211,余任天,孺子牛,3,,,,,,,,,,,
212,王腰,有好都能累此生,7,,,,,,,,,,,
213,丰子恺,子恺,2,,,,,,,,,,,
214,榭稚柳,杜斋,2,,,,,,,,,,,
215,朱学勤,朱学勤,3,,,,,,,,,,,
216,王腰,但愿得者如吾辈虽非我有亦可喜,14,,,,,,,,,,,
217,钟葆珩,南海钟葆珩收藏金石书画印,12,1,,,,,,,,,1,
218,吴玉墀,吴玉墀,3,,,,,,,,,,,
219,文俶,兰闺彤管,4,,,,,,,,,,,
220,寿石工,寿鈢,2,,,,,,,,,,,
221,程庭鹭,老蘅,2,,,,,,,,,,,
222,翁方纲,翁方纲印,4,1,,,,,,,,,,
223,吴昌硕,缶,1,,,,,,,,,,,
224,寿石工,瑴盦,2,,,,,,,,,,,
225,陈鸿寿,陈鸿寿印,4,1,,,,,,,,,,
226,陈鸿寿,老曼诗书画印,6,1,,,,,,,,,1,
227,钟葆珩,钟葆珩印,4,1,,,,,,,,,,
228,朱之赤,朱之赤鉴赏,5,,,,,,,,,,,
229,梅清,古人在我,4,,,,,,,,,,,
230,林则徐,管领江淮河汉,6,,,,,,,,,,,
231,萧云从,萧云从,3,,,,,,,,,,,
232,宁斧成,斧翁金石书画,6,,,,,,,,,,,
233,张大千,大千世界,4,,,,,,,,,,,
234,范大冲,小桃源里人家,6,,,,,,,,,,,
235,顾麟士,顾麟士,3,,,,,,,,,,,
236,吴云,归安吴云平生珍秘,8,,,,,,,,,,,
237,沈树镛,宝董室,3,,,,,,,,,,,
238,毕泷,太仓毕涧飞藏,6,,,,,,,,,,,
239,唐云,大石斋画记,5,,,,,,,,,,,
240,王腰,好古每开卷居贫常闭门,10,,,,,,,,,,,
241,汪恭,恭寿氏,3,,,,,,,,,,,
242,吴大澂,吴大澂印,4,1,,,,,,,,,,
243,傅抱石,抱石所得印象,6,,,,,,,,,,,
244,吴茀之,打破常规,4,,,,,,,,,,,
245,法若真,黄石氏,3,,,,,,,,,,,
246,王腰,糜砚斋,3,,,,,,,,,,,
247,毛扆,毛扆,2,,,,,,,,,,,
248,王雪涛,王郎,2,,,,,,,,,,,
249,赵云壑,半秃老人,4,,,,,,,,,,,
250,舒同,舒文藻印,4,1,,,,,,,,,,
251,郭味蕖,味蕖,2,,,,,,,,,,,
252,王森然,森然,2,,,,,,,,,,,
253,徐光济,谷水紫来阁徐氏印,8,1,,,,,,,,,,
254,汪振勋,汪宪奎印,4,1,,,,,,,,,,
255,蓝瑛,蓝瑛田叔,4,,,,,,,,,,,
256,吴昌硕,吴俊卿,3,,,,,,,,,,,
257,郁松年,泰峰,2,,,,,,,,,,,
258,贺天健,天健长寿,4,,,,,,,,,,,
259,梅清,已指斋,3,,,,,,,,,,,
260,方薰,长青,2,,,,,,,,,,,
261,叶浅予,浅予,2,,,,,,,,,,,
262,徐光济,徐氏金石,4,,,,,,,,,,,
263,谢时臣,樗仙,2,,,,,,,,,,,
264,潘天寿,潘天寿印,4,1,,,,,,,,,,
265,茅坤,墨香亭,3,,,,,,,,,,,
266,华岩,新罗山人,4,,,,,,,,,,,
267,许麟庐,翱翔万里,4,,,,,,,,,,,
268,叶德辉,郋园鉴藏,4,,,,,,,,,,,
269,寿石工,芳香沉逸之好,6,,,,,,,,,,,
270,陈元龙,陈元龙印,4,1,,,,,,,,,,
271,俞旦,俞旦,2,,,,,,,,,,,
272,寿石工,馥秋阁,3,,,,,,,,,,,
273,华岩,山夫,2,,,,,,,,,,,
274,陈淳,复生印,3,1,,,,,,,,,,
275,刘海粟,海粟老人,4,,,,,,,,,,,
276,叶德辉,德辉私印,4,1,,,,1,,,,,,
277,方薰,方薰印,3,1,,,,,,,,,,
278,朱屺瞻,屺瞻,2,,,,,,,,,,,
279,董诰,柘林一号味菘,6,,,,,,,,,,,
280,陆恢,恢印,2,1,,,,,,,,,,
281,萧蜕庵,虞山第一书家,6,,,,,,,,,,,
282,董邦达,诚斋,2,,,,,,,,,,,
283,姜宸英,姜宸英印,4,1,,,,,,,,,,
284,榭稚柳,苦篁斋,3,,,,,,,,,,,
285,陆心源,十万卷楼,4,,,,,,,,,,,
286,毕泷,毕泷鉴藏图书,6,,,,,,,,,,,
287,查昇,查昇之印,4,1,,1,,,,,,,,
288,来楚生,负翁信手,4,,,,,,,,,,,
289,方亨咸,吉偶,2,,,,,,,,,,,
290,陈率祖,孝行,2,,,,,,,,,,,
291,沈树镛,沈树镛印,4,1,,,,,,,,,,
292,岑槠,惧盈斋,3,,,,,,,,,,,
293,张大千,以优延年,4,,,,,,,,,,,
294,吴大澂,吴大澂印,4,1,,,,,,,,,,
295,程正揆,青溪,2,,,,,,,,,,,
296,吴云,两罍轩考藏金石文字,9,,,,,,,,,,,
297,谢稚柳,鱼饮父,3,,,,,,,,,,,
298,江寒汀,寒汀,2,,,,,,,,,,,
299,贺天健,达屋,2,,,,,,,,,,,
300,陈淳,白阳山中人,5,,,,,,,,,,,
301,郑慕康,郑,1,,,,,,,,,,,
302,阮元,阮元印,3,1,,,,,,,,,,
303,陆恢,楚狂,2,,,,,,,,,,,
304,许麟庐,渤海许郎,4,,,,,,,,,,,
305,傅抱石,换了人间,4,,,,,,,,,,,
306,吴大澂,吴大澂印,4,1,,,,,,,,,,
307,关山月,关山月,3,,,,,,,,,,,
308,傅抱石,傅抱石印,4,1,,,,,,,,,,
309,李可染,白发学童,4,,,,,,,,,,,
310,查昇,查昇之印,4,1,,1,,,,,,,,
311,梅清,清,1,,,,,,,,,,,
312,潘祖荫,汉学居,3,,,,,,,,,,,
313,吴昌硕,老缶,2,,,,,,,,,,,
314,吴滔,吴滔印信,4,,,,,,1,,,,,
315,包栋,子梁父,3,,,,,,,,,,,
316,唐翰题,唐翰题,3,,,,,,,,,,,
317,华岩,华喦,2,,,,,,,,,,,
318,潘天寿,寿者相,3,,,,,,,,,,,
319,项笃寿,桃花村里人家,6,,,,,,,,,,,
320,方士庶,方士庶,3,,,,,,,,,,,
321,法若真,衔我千里心,5,,,,,,,,,,,
