,ownerOfSeal,label_clean,length,印,章,之印,之章,私印,印信,考藏印,藏书印,藏书之印,书画印,图书印
4401,张大千,大千,2,,,,,,,,,,,
4402,陈介祺,陈介祺印,4,1,,,,,,,,,,
4403,董邦达,邦达之印,4,1,,1,,,,,,,,
4404,周亮工,减斋,2,,,,,,,,,,,
4405,黄胄,黄胄之印,4,1,,1,,,,,,,,
4406,岑槠,岑仲陶氏,4,,,,,,,,,,,
4407,达受,西子湖头捭渡僧,7,,,,,,,,,,,
4408,唐云,唐云之玺,4,,,,,,,,,,,
4409,杨以增,杨东樵读过,5,,,,,,,,,,,
4410,项元汴,墨林山人,4,,,,,,,,,,,
4411,榭稚柳,谢屐,2,,,,,,,,,,,
4412,钱镜塘,菊隐老人,4,,,,,,,,,,,
4413,汪亚尘,云隐居士,4,,,,,,,,,,,
4414,王铎,萑苇书屋,4,,,,,,,,,,,
4415,寿石工,吾自得之,4,,,,,,,,,,,
4416,来楚生,初升,2,,,,,,,,,,,
4417,黎简,二樵,2,,,,,,,,,,,
4418,翁方纲,覃溪,2,,,,,,,,,,,
4419,端方,端方,2,,,,,,,,,,,
4420,齐白石,恨不十年读书,6,,,,,,,,,,,
4421,毕泷,静逸,2,,,,,,,,,,,
4422,陈巨来,持,1,,,,,,,,,,,
4423,陈衡恪,陈衡恪,3,,,,,,,,,,,
4424,王同愈,胜之一字栩缘,6,,,,,,,,,,,
4425,陶湘,兰泉长寿,4,,,,,,,,,,,
4426,仇英,十州,2,,,,,,,,,,,
4427,金俊明,俊明,2,,,,,,,,,,,
4428,刘海粟,美意延年,4,,,,,,,,,,,
4429,吴滔,伯滔,2,,,,,,,,,,,
4430,吴云,庚辰政七十,5,,,,,,,,,,,
4431,唐云,大石翁,3,,,,,,,,,,,
4432,蒲华,俗可医,3,,,,,,,,,,,
4433,黄山寿,古今吟榭,4,,,,,,,,,,,
4434,黄丕烈,荛圃过眼,4,,,,,,,,,,,
4435,高时敷,乐只室,3,,,,,,,,,,,
4436,项圣谟,孔彰父,3,,,,,,,,,,,
4437,于非闇,非闇,2,,,,,,,,,,,
4438,谭延闿,观瓶之居,4,,,,,,,,,,,
4439,宋珏,宋珏之印,4,1,,1,,,,,,,,
4440,刘承干,贞一手迹,4,,,,,,,,,,,
4441,黄士陵,远离颠倒梦想,6,,,,,,,,,,,
4442,俞旦,俞旦,2,,,,,,,,,,,
4443,黄慎,黄慎,2,,,,,,,,,,,
4444,寿石工,蝶芜斋,3,,,,,,,,,,,
4445,叶恭绰,番禺叶氏所藏,6,,,,,,,,,,,
4446,文俶,文端容氏,4,,,,,,,,,,,
4447,于非闇,非闇五十以后作,7,,,,,,,,,,,
4448,叶德辉,焕彬,2,,,,,,,,,,,
4449,黄君璧,白云堂,3,,,,,,,,,,,
4450,鲁迅,善,1,,,,,,,,,,,
4451,文从简,文从简印,4,1,,,,,,,,,,
4452,钱瘦铁,梁溪三里桥人,6,,,,,,,,,,,
4453,齐白石,齐白石借山主人,7,,,,,,,,,,,
4454,程庭鹭,庭鹭,2,,,,,,,,,,,
4455,宋文治,娄江文治,4,,,,,,,,,,,
4456,余任天,天庐所藏,4,,,,,,,,,,,
4457,朱屺瞻,屺瞻,2,,,,,,,,,,,
4458,吴湖帆,吴湖帆珍藏印,6,1,,,,,,,,,,
4459,王腰,王维季,3,,,,,,,,,,,
4460,达受,达受之印,4,1,,1,,,,,,,,
4461,赵之谦,谦顿首上,4,,,,,,,,,,,
4462,梅清,瞿硎石室中人,6,,,,,,,,,,,
4463,宋文治,娄江文治,4,,,,,,,,,,,
4464,陈铣,陈铣,2,,,,,,,,,,,
4465,高其佩,癸未,2,,,,,,,,,,,
4466,乔大壮,波外楼,3,,,,,,,,,,,
4467,笪重光,笪重光印,4,1,,,,,,,,,,
4468,伍元蕙,伍元蕙俪荃氏,6,,,,,,,,,,,
4469,李可染,可染,2,,,,,,,,,,,
4470,张伯英,张伯英印,4,1,,,,,,,,,,
4471,阮元,己亥,2,,,,,,,,,,,
4472,笪重光,江上外史,4,,,,,,,,,,,
4473,谢稚柳,谢穉,2,,,,,,,,,,,
4474,董邦达,一丛水竹,4,,,,,,,,,,,
4475,毛扆,毛扆之印,4,1,,1,,,,,,,,
4476,吕凤子,丹阳吕濬,4,,,,,,,,,,,
4477,陈半丁,其鸣亦哀,4,,,,,,,,,,,
4478,弘旿,诗人与画手兰菊芳春秋,10,,,,,,,,,,,
4479,徐乾学,乾学,2,,,,,,,,,,,
4480,陈淳,道复,2,,,,,,,,,,,
4481,包栋,山阴包栋书画印子,8,,,,,,,,,,1,
4482,黄幻吾,罕僧书画,4,,,,,,,,,,,
4483,杭世骏,堇浦,2,,,,,,,,,,,
4484,郭尚先,郭尚先印,4,1,,,,,,,,,,
4485,爱新觉罗·弘历,含英咀华,4,,,,,,,,,,,
4486,黄君璧,白云堂,3,,,,,,,,,,,
4487,吴云,两罍轩,3,,,,,,,,,,,
4488,吴骞,寒可无衣饥可无食至于书不可一日失此昔人诒厥之名言是可为拜经楼藏书之雅则,35,,,,,,,,,,,
4489,陈半丁,花草精神,4,,,,,,,,,,,
4490,孙星衍,渊如,2,,,,,,,,,,,
4491,黄宾虹,黄冰鸿,3,,,,,,,,,,,
4492,邓散木,粪土之墙,4,,,,,,,,,,,
4493,陈半丁,山阴半叟,4,,,,,,,,,,,
4494,陈半丁,半丁书画,4,,,,,,,,,,,
4495,潘正炜,听帆楼书画印,6,1,,,,,,,,,1,
4496,吴骞,兔牀,2,,,,,,,,,,,
4497,韩登安,西泠印社中人,6,,,,,,,,,,,
4498,商承祚,商承祚印,4,1,,,,,,,,,,
4499,顾麟士,鹤庐主人,4,,,,,,,,,,,
4500,陶湘,涉公眼福,4,,,,,,,,,,,
4501,陈衡恪,泰乡,2,,,,,,,,,,,
4502,赵鹤琴,癸未,2,,,,,,,,,,,
4503,赵之谦,赵之谦印,4,1,,,,,,,,,,
4504,陆俨少,陆俨少,3,,,,,,,,,,,
4505,阮元,臣元之印,4,1,,1,,,,,,,,
4506,乔大壮,身参末将,4,,,,,,,,,,,
4507,罗振玉,大云精舍,4,,,,,,,,,,,
4508,钱谦益,钱谦益印,4,1,,,,,,,,,,
4509,边寿民,酒后常称老画师,7,,,,,,,,,,,
4510,陈鸿寿,陈氏子恭,4,,,,,,,,,,,
4511,钱榖,钱叔宝氏,4,,,,,,,,,,,
4512,张宗祥,张冷僧,3,,,,,,,,,,,
4513,冯超然,冯大,2,,,,,,,,,,,
4514,弘仁,弘仁,2,,,,,,,,,,,
4515,徐悲鸿,悲鸿,2,,,,,,,,,,,
4516,高其佩,且园,2,,,,,,,,,,,
4517,阮元,伯元父印,4,1,,,,,,,,,,
4518,何海霞,海霞天地,4,,,,,,,,,,,
4519,张大千,大千写记,4,,,,,,,,,,,
4520,邓散木,粪翁,2,,,,,,,,,,,
4521,关山月,游于艺,3,,,,,,,,,,,
4522,田世光,世光画印,4,1,,,,,,,,,,
4523,丁福保,十年无处觅知音,7,,,,,,,,,,,
4524,文徵明,衡山,2,,,,,,,,,,,
4525,高时显,五百本画梅精舍,7,,,,,,,,,,,
4526,张敔,张敔之印,4,1,,1,,,,,,,,
4527,应野平,野平,2,,,,,,,,,,,
4528,胡润芝,胡润芝,3,,,,,,,,,,,
4529,陈率祖,率祖私印,4,1,,,,1,,,,,,
4530,梅清,天延阁图书,5,,,,,,,,,,,
4531,宋濂,金华宋氏景濂,6,,,,,,,,,,,
4532,吴昌硕,破荷,2,,,,,,,,,,,
4533,项圣谟,项伯子自玩,5,,,,,,,,,,,
4534,刘海粟,十里荷花,4,,,,,,,,,,,
4535,潘天寿,寿先生,3,,,,,,,,,,,
4536,应野平,愚楼,2,,,,,,,,,,,
4537,姚燮,梅花知己,4,,,,,,,,,,,
4538,周之冕,服卿氏,3,,,,,,,,,,,
4539,岑槠,甘泉岑镕之印,6,1,,1,,,,,,,,
4540,查昇,澹远堂印,4,1,,,,,,,,,,
4541,顾麟士,鹤逸,2,,,,,,,,,,,
4542,毕泷,毕泷鉴藏,4,,,,,,,,,,,
4543,徐乾学,乾学之印,4,1,,1,,,,,,,,
4544,陈奕禧,原名熹,3,,,,,,,,,,,
4545,黄士陵,士陵长年,4,,,,,,,,,,,
4546,赵云壑,鹤寿,2,,,,,,,,,,,
4547,马一浮,蠲戏斋论学笺,6,,,,,,,,,,,
4548,王世贞,贞元,2,,,,,,,,,,,
4549,项圣谟,项孔彰留真迹与人间垂千古,12,,,,,,,,,,,
4550,李可染,所要者魂,4,,,,,,,,,,,
4551,邹一桂,一桂画,3,,,,,,,,,,,
4552,沈尹默,竹溪沈尹默之印,7,1,,1,,,,,,,,
4553,黄绍宪,非无江海志萧洒送日月,10,,,,,,,,,,,
4554,梅清,老瞿清,3,,,,,,,,,,,
4555,唐云,唐云私印,4,1,,,,1,,,,,,
4556,王森然,王樾一字杏岩,6,,,,,,,,,,,
4557,舒同,舒同,2,,,,,,,,,,,
4558,张大千,大千,2,,,,,,,,,,,
4559,李可染,天海楼,3,,,,,,,,,,,
4560,寿石工,空尊,2,,,,,,,,,,,
4561,张燮,词垣珥笔秘殿紬书版部持筹云楼定律,16,,,,,,,,,,,
4562,汪士慎,七峰,2,,,,,,,,,,,
4563,潘仕成,德畲,2,,,,,,,,,,,
4564,徐渭仁,宝晋砚斋,4,,,,,,,,,,,
4565,吴滔,伯滔,2,,,,,,,,,,,
4566,沈颢,沈颢,2,,,,,,,,,,,
4567,陶湘,味腴室,3,,,,,,,,,,,
4568,郑文焯,郑文焯,3,,,,,,,,,,,
4569,陈洪绶,枫桥,2,,,,,,,,,,,
4570,谢稚柳,苦篁斋,3,,,,,,,,,,,
4571,沙孟海,沙孟海印,4,1,,,,,,,,,,
4572,余任天,韵泉,2,,,,,,,,,,,
4573,张廷济,张廷济印,4,1,,,,,,,,,,
4574,吴昌硕,吴俊长寿,4,,,,,,,,,,,
4575,黄士陵,金石癖,3,,,,,,,,,,,
4576,关山月,岭南人,3,,,,,,,,,,,
4577,文彭,文寿承氏,4,,,,,,,,,,,
4578,余任天,妙造自然,4,,,,,,,,,,,
4579,方人定,方人定,3,,,,,,,,,,,
4580,齐白石,买丝原绣绣丝人,7,,,,,,,,,,,
4581,达受,墨王楼,3,,,,,,,,,,,
4582,田世光,公炜,2,,,,,,,,,,,
4583,王谷祥,榖祥,2,,,,,,,,,,,
4584,榭稚柳,鱼饮,2,,,,,,,,,,,
4585,笪重光,笪重光印,4,1,,,,,,,,,,
4586,岑槠,铜士,2,,,,,,,,,,,
4587,李苦禅,苦禅一字励公,6,,,,,,,,,,,
4588,黄胄,黄胄,2,,,,,,,,,,,
4589,钱谦益,牧斋,2,,,,,,,,,,,
4590,丁佛言,迈钝,2,,,,,,,,,,,
4591,马一浮,蠲叟,2,,,,,,,,,,,
4592,董邦达,东山,2,,,,,,,,,,,
4593,朱之赤,之赤,2,,,,,,,,,,,
4594,张瑞图,张瑞图印,4,1,,,,,,,,,,
4595,陈介祺,千化笵室,4,,,,,,,,,,,
4596,韩登安,登安瑑隶,4,,,,,,,,,,,
4597,高其佩,手到处,3,,,,,,,,,,,
4598,郑旼,郑旼慕倩,4,,,,,,,,,,,
4599,张大千,春长好,3,,,,,,,,,,,
4600,裴景福,霍丘配景福弱冠退寓吴客燕所得书画碑版,18,,,,,,,,,,,
4601,米万钟,太史氏,3,,,,,,,,,,,
4602,文嘉,文嘉印文休承印,7,1,,,,,,,,,,
4603,曹溶,曹溶私印,4,1,,,,1,,,,,,
4604,岑槠,岑氏岑楼中物,6,,,,,,,,,,,
4605,徐时栋,同叔,2,,,,,,,,,,,
4606,张大千,己未,2,,,,,,,,,,,
4607,程庭鹭,庭鹭私印,4,1,,,,1,,,,,,
4608,王士肚,王士禛印,4,1,,,,,,,,,,
4609,吴焯,尺凫,2,,,,,,,,,,,
4610,瞿中溶,木居士,3,,,,,,,,,,,
4611,陈半丁,丰年,2,,,,,,,,,,,
4612,陶湘,涉公生于庚午,6,,,,,,,,,,,
4613,蒲华,作英,2,,,,,,,,,,,
4614,寿石工,寿鈢,2,,,,,,,,,,,
4615,余任天,余任天所得金石墨本,9,,,,,,,,,,,
4616,张大千,庚申,2,,,,,,,,,,,
4617,刘世珩,聚学轩,3,,,,,,,,,,,
4618,石鲁,石鲁,2,,,,,,,,,,,
4619,宋珏,比玉,2,,,,,,,,,,,
4620,陆恢,廉夫诗画,4,,,,,,,,,,,
4621,吴骞,吴骞字槎客别字兔床,9,,,,,,,,,,,
4622,朱学勤,西溪朱氏藏书小印,8,1,,,,,,,,,,
4623,郑旼,穆倩,2,,,,,,,,,,,
4624,钱松喦,芑庐诗画,4,,,,,,,,,,,
4625,范守和,范禾字叔,4,,,,,,,,,,,
4626,余任天,任天书屋,4,,,,,,,,,,,
4627,唐云,唐云唯印,4,1,,,,,,,,,,
4628,吴鼒,吴鼒,2,,,,,,,,,,,
4629,文徵明,停云馆,3,,,,,,,,,,,
4630,钱大昕,辛楣,2,,,,,,,,,,,
4631,陈淳,白阳山中人,5,,,,,,,,,,,
4632,王蘧常,明两庐,3,,,,,,,,,,,
4633,谢稚柳,壮暮,2,,,,,,,,,,,
4634,高时敷,高敷,2,,,,,,,,,,,
4635,缪荃孙,艺风审定,4,,,,,,,,,,,
4636,宋文治,山河壮丽,4,,,,,,,,,,,
4637,范钦,昆仑外史,4,,,,,,,,,,,
4638,郑文焯,大壶,2,,,,,,,,,,,
4639,陈淳,陈氏道复,4,,,,,,,,,,,
4640,蓝瑛,蓝瑛之印,4,1,,1,,,,,,,,
4641,沈子丞,淳然,2,,,,,,,,,,,
4642,朱彝尊,醧舫,2,,,,,,,,,,,
4643,瞿中溶,良斋审定,4,,,,,,,,,,,
4644,黄君璧,南海黄氏,4,,,,,,,,,,,
4645,莫是龙,廷韩,2,,,,,,,,,,,
4646,徐渭仁,徐渭仁印,4,1,,,,,,,,,,
4647,朱彝尊,老去诗篇浑漫与,7,,,,,,,,,,,
4648,张燮,蓉镜珍藏,4,,,,,,,,,,,
4649,徐渭,金回山人,4,,,,,,,,,,,
4650,爱新觉罗·弘历,八徵耄念之宝,6,,,,,,,,,,,
4651,寿石工,蝶芜斋,3,,,,,,,,,,,
4652,谢稚柳,迟燕,2,,,,,,,,,,,
4653,齐白石,白石题跋,4,,,,,,,,,,,
4654,吴湖帆,湖帆长寿,4,,,,,,,,,,,
4655,陈衡恪,芳草,2,,,,,,,,,,,
4656,朱彝尊,金风亭长,4,,,,,,,,,,,
4657,刘淑度,家在德水之阳,6,,,,,,,,,,,
4658,文徵明,衡山,2,,,,,,,,,,,
4659,包世臣,包慎伯氏,4,,,,,,,,,,,
4660,唐云,唐云私印,4,1,,,,1,,,,,,
4661,王腰,自号持默,4,,,,,,,,,,,
4662,张廷济,叔未,2,,,,,,,,,,,
4663,王雪涛,王雪涛印,4,1,,,,,,,,,,
4664,蒲华,作英,2,,,,,,,,,,,
4665,马晋,马晋之印,4,1,,1,,,,,,,,
4666,高其佩,高其佩印,4,1,,,,,,,,,,
4667,莫友芝,郘亭眲叟,4,,,,,,,,,,,
4668,陈半丁,山阴陈年,4,,,,,,,,,,,
4669,黄士陵,牧父游戏之墨,6,,,,,,,,,,,
4670,徐悲鸿,悲鸿,2,,,,,,,,,,,
4671,刘承干,承干长寿,4,,,,,,,,,,,
4672,郭传璋,郭传璋印,4,1,,,,,,,,,,
4673,徐恕,藏棱盦,3,,,,,,,,,,,
4674,贺天健,贺氏天健,4,,,,,,,,,,,
4675,榭稚柳,鱼饮溪堂,4,,,,,,,,,,,
4676,文徵明,文壁印,3,1,,,,,,,,,,
4677,王梦石,王梦石印,4,1,,,,,,,,,,
4678,陶湘,涉园所藏,4,,,,,,,,,,,
4679,陈奕禧,梦墨,2,,,,,,,,,,,
4680,黄秋园,荒寒,2,,,,,,,,,,,
4681,朱彝尊,小长芦钓鱼师,6,,,,,,,,,,,
4682,赵鹤琴,开心过日脚顽皮出风头,10,,,,,,,,,,,
4683,徐悲鸿,徐,1,,,,,,,,,,,
4684,黄胄,映斋梁氏,4,,,,,,,,,,,
4685,袁廷檮,袁廷檮印,4,1,,,,,,,,,,
4686,高其佩,指头画,3,,,,,,,,,,,
4687,爱新觉罗·弘历,五福五代堂宝,6,,,,,,,,,,,
4688,葛家修,家修,2,,,,,,,,,,,
4689,徐光济,谷水徐氏藏本,6,,,,,,,,,,,
4690,钱镜塘,菊隐老人,4,,,,,,,,,,,
4691,陈衡恪,陈朽,2,,,,,,,,,,,
4692,马晋,马晋,2,,,,,,,,,,,
4693,梅清,三我生,3,,,,,,,,,,,
4694,张廷济,清仪阁,3,,,,,,,,,,,
4695,莫友芝,莫绳孙字仲武长宜子孙,10,,,,,,,,,,,
4696,梁树年,梁树年,3,,,,,,,,,,,
4697,吴湖帆,吴倩长寿,4,,,,,,,,,,,
4698,王铎,觉斯,2,,,,,,,,,,,
4699,王腰,王禔,2,,,,,,,,,,,
4700,黄胄,黄胄之印,4,1,,1,,,,,,,,
4701,高时显,高显之印章,5,,1,,,,,,,,,
4702,周沧米,昌米,2,,,,,,,,,,,
4703,贺天健,贺天健,3,,,,,,,,,,,
4704,商承祚,人书近老,4,,,,,,,,,,,
4705,张辛稼,张辛稼,3,,,,,,,,,,,
4706,张绍仁,张绍仁印,4,1,,,,,,,,,,
4707,陶湘,涉园书藏,4,,,,,,,,,,,
4708,梅清,三昧游,3,,,,,,,,,,,
4709,朱彝尊,竹垞,2,,,,,,,,,,,
4710,唐云,唐云印信,4,,,,,,1,,,,,
4711,郑文焯,郑文焯印,4,1,,,,,,,,,,
4712,余任天,有真意,3,,,,,,,,,,,
4713,赵之谦,赵,1,,,,,,,,,,,
4714,文嘉,文嘉,2,,,,,,,,,,,
4715,黄慎,黄慎,2,,,,,,,,,,,
4716,弘仁,渐江,2,,,,,,,,,,,
4717,王时敏,王时敏印,4,1,,,,,,,,,,
4718,陈鸿寿,陈氏子恭,4,,,,,,,,,,,
4719,汪慎生,汪溶私印,4,1,,,,1,,,,,,
4720,胡润芝,胡润芝鉩,4,,,,,,,,,,,
4721,王个喉,个簃,2,,,,,,,,,,,
4722,丰子恺,子恺漫画,4,,,,,,,,,,,
4723,陈洪绶,章侯,2,,,,,,,,,,,
4724,田家英,家英之印,4,1,,1,,,,,,,,
4725,刘承干,翰仪白笺,4,,,,,,,,,,,
4726,伊秉绶,墨卿,2,,,,,,,,,,,
4727,梅清,梅痴,2,,,,,,,,,,,
4728,唐云,唐云印信,4,,,,,,1,,,,,
4729,王梦石,千石富翁,4,,,,,,,,,,,
4730,钱谷,中吴钱氏收藏印,7,1,,,,,,,,,,
4731,项元汴,墨林秘玩,4,,,,,,,,,,,
4732,蓝瑛,田叔父,3,,,,,,,,,,,
4733,姚绶,云东逸史,4,,,,,,,,,,,
4734,方人定,方人定印,4,1,,,,,,,,,,
4735,刘世珩,聚卿金石寿,5,,,,,,,,,,,
4736,白雪石,吾师造化,4,,,,,,,,,,,
4737,孙克弘,二千石长,4,,,,,,,,,,,
4738,黄丕烈,读未见书斋,5,,,,,,,,,,,
4739,杨以增,杨绍和字彦合一字念微号协卿又号筑岩,17,,,,,,,,,,,
4740,黄丕烈,荛翁,2,,,,,,,,,,,
4741,徐渭仁,徐渭仁印,4,1,,,,,,,,,,
4742,爱新觉罗·弘历,乾隆御笔,4,,,,,,,,,,,
4743,王穉登,广长庵主,4,,,,,,,,,,,
4744,陈半丁,年长寿,3,,,,,,,,,,,
4745,法若真,诗意,2,,,,,,,,,,,
4746,马晋,马晋之印,4,1,,1,,,,,,,,
4747,唐寅,六如居士,4,,,,,,,,,,,
4748,罗振玉,叔言亦字商遗,6,,,,,,,,,,,
4749,吴骞,吴兔牀书籍印,6,1,,,,,,,,,,
4750,吴待秋,抱鋗居士,4,,,,,,,,,,,
4751,潘伯鹰,伯鹰,2,,,,,,,,,,,
4752,张廷济,八砖精舍,4,,,,,,,,,,,
4753,邓尔雅,梅在斯,3,,,,,,,,,,,
4754,岑槠,岑氏仲陶,4,,,,,,,,,,,
4755,田世光,长梦留痕,4,,,,,,,,,,,
4756,黄君璧,黄君璧印,4,1,,,,,,,,,,
4757,徐恕,弘我汉京,4,,,,,,,,,,,
4758,赵叔孺,仆累庐,3,,,,,,,,,,,
4759,童大年,童大年印信,5,,,,,,1,,,,,
4760,鲍正言,慎斋,2,,,,,,,,,,,
4761,丰子恺,石门丰氏,4,,,,,,,,,,,
4762,爱新觉罗·弘历,游六艺圃,4,,,,,,,,,,,
4763,方亨咸,安乐,2,,,,,,,,,,,
4764,李可染,可染,2,,,,,,,,,,,
4765,寿石工,方回同里,4,,,,,,,,,,,
4766,梁清标,河北梁清标鉴定印,8,1,,,,,,,,,,
4767,赵少昂,少昂,2,,,,,,,,,,,
4768,朱鼎煦,别宥手拓,4,,,,,,,,,,,
4769,唐云,唐云,2,,,,,,,,,,,
4770,赵之谦,臣之谦,3,,,,,,,,,,,
4771,蒋祖诒,大利蒋谷孙,5,,,,,,,,,,,
4772,谭延闿,瓶斋,2,,,,,,,,,,,
4773,杨以增,协卿读过,4,,,,,,,,,,,
4774,黄士陵,在黟减半,4,,,,,,,,,,,
4775,谢稚柳,谢稚,2,,,,,,,,,,,
4776,钱镜塘,钱氏数青草堂收藏印,9,1,,,,,,,,,,
4777,黄绍宪,季度,2,,,,,,,,,,,
4778,吴湖帆,倩盦,2,,,,,,,,,,,
4779,陈洪绶,云门僧悔,4,,,,,,,,,,,
4780,徐乃昌,积余秘笈识者寳之,8,,,,,,,,,,,
4781,陈少梅,少梅诗画,4,,,,,,,,,,,
4782,乔大壮,戢,1,,,,,,,,,,,
4783,包栋,包子梁,3,,,,,,,,,,,
4784,李可染,李,1,,,,,,,,,,,
4785,王芑孙,宫学博士,4,,,,,,,,,,,
4786,王蘧常,王蘧常之章,5,,1,,1,,,,,,,
4787,张善孖,张泽,2,,,,,,,,,,,
4788,徐光济,痴心未了鸳鸯债,7,,,,,,,,,,,
4789,曹溶,檇李曹氏收藏图书记,9,,,,,,,,,,,
4790,丰子恺,丰子恺,3,,,,,,,,,,,
4791,华岩,太素道人,4,,,,,,,,,,,
4792,乔大壮,算潮水知人最苦,7,,,,,,,,,,,
4793,潘天寿,东越潘天寿,5,,,,,,,,,,,
4794,徐时栋,柳泉,2,,,,,,,,,,,
4795,赵鹤琴,享受世年,4,,,,,,,,,,,
4796,瞿中溶,瞿仲子信印大贵长寿,9,,,,,,,,,,,
4797,徐光济,芙蓉溪北是侬家,7,,,,,,,,,,,
4798,李可染,可染,2,,,,,,,,,,,
4799,唐云,杭郡唐云印,5,1,,,,,,,,,,
4800,金城,拱北,2,,,,,,,,,,,
4801,王时敏,烟客,2,,,,,,,,,,,
4802,袁克文,克文之玺,4,,,,,,,,,,,
4803,莫友芝,影山草堂,4,,,,,,,,,,,
4804,李可染,可染,2,,,,,,,,,,,
4805,王鏊,震泽,2,,,,,,,,,,,
4806,朱复戡,敝帚自珍,4,,,,,,,,,,,
4807,汪振勋,唐越国公四十二世孙,9,,,,,,,,,,,
4808,徐光济,得此书贵能读若徒藏不如儥,12,,,,,,,,,,,
4809,华岩,白沙,2,,,,,,,,,,,
4810,黄宾虹,黄质,2,,,,,,,,,,,
4811,爱新觉罗·弘历,宁寿宫续入石渠宝笈,9,,,,,,,,,,,
4812,顾鹤庆,顾鹤庆印,4,1,,,,,,,,,,
4813,刘世珩,聚学轩主,4,,,,,,,,,,,
4814,陈淳,白阳山中人,5,,,,,,,,,,,
4815,郑旼,穆倩,2,,,,,,,,,,,
4816,梁清标,蕉林,2,,,,,,,,,,,
4817,袁克文,与身俱存亡,5,,,,,,,,,,,
4818,张大千,未了愁缘,4,,,,,,,,,,,
4819,唐云,唐华庵,3,,,,,,,,,,,
4820,杨守敬,杨守敬,3,,,,,,,,,,,
4821,程庭鹭,养欢喜神,4,,,,,,,,,,,
4822,弘旿,纵浪大化中,5,,,,,,,,,,,
4823,蓝瑛,飞云阁,3,,,,,,,,,,,
4824,吴待秋,吴徵私印,4,1,,,,1,,,,,,
4825,李可染,可染,2,,,,,,,,,,,
4826,汪统,忒翁长寿,4,,,,,,,,,,,
4827,陈洪绶,章侯氏,3,,,,,,,,,,,
4828,刘承干,翰怡,2,,,,,,,,,,,
4829,李明墀,李氏玉陔,4,,,,,,,,,,,
4830,瞿秉渊,恬裕斋镜之氏珍藏,8,,,,,,,,,,,
4831,曹溶,曹溶之印,4,1,,1,,,,,,,,
4832,邓散木,粪翁,2,,,,,,,,,,,
4833,沙孟海,老沙为石,4,,,,,,,,,,,
4834,贺天健,贺天健鈢,4,,,,,,,,,,,
4835,沈颢,石天,2,,,,,,,,,,,
4836,周之冕,周之冕印,4,1,,,,,,,,,,
4837,唐云,十妙轩,3,,,,,,,,,,,
4838,费丹旭,费丹旭书画印,6,1,,,,,,,,,1,
4839,伊秉绶,东阁梅花,4,,,,,,,,,,,
4840,伍元蕙,伍葆恒俪荃氏,6,,,,,,,,,,,
4841,边寿民,东涂西抹,4,,,,,,,,,,,
4842,爱新觉罗永瑆,成亲王,3,,,,,,,,,,,
4843,徐光济,寅庵,2,,,,,,,,,,,
4844,汪恭,瓯香砚斋,4,,,,,,,,,,,
4845,丰子恺,丰子恺,3,,,,,,,,,,,
4846,舒同,舒同之印,4,1,,1,,,,,,,,
4847,朱彝尊,竹垞,2,,,,,,,,,,,
4848,华岩,华喦,2,,,,,,,,,,,
4849,唐云,大石翁,3,,,,,,,,,,,
4850,刘淑度,心持半偈万缘空,7,,,,,,,,,,,
4851,朱彝尊,小长芦,3,,,,,,,,,,,
4852,毛晋,汲古得修绠,5,,,,,,,,,,,
4853,赵少昂,少昂无恙,4,,,,,,,,,,,
4854,陈淳,陈氏道复,4,,,,,,,,,,,
4855,潘天寿,潘天寿印,4,1,,,,,,,,,,
4856,陈衡恪,槐堂石墨,4,,,,,,,,,,,
4857,陈半丁,半丁老人,4,,,,,,,,,,,
4858,郑文焯,鹤,1,,,,,,,,,,,
4859,程庭鹭,四先生里人,5,,,,,,,,,,,
4860,谢时臣,时臣,2,,,,,,,,,,,
4861,唐云,唐云印信,4,,,,,,1,,,,,
4862,姜宸英,西溟,2,,,,,,,,,,,
4863,郑午昌,书带草堂,4,,,,,,,,,,,
4864,刘承干,南林刘氏求恕斋藏,8,,,,,,,,,,,
4865,方薰,楚生,2,,,,,,,,,,,
4866,谢稚柳,苦篁斋,3,,,,,,,,,,,
4867,张之洞,牛翁,2,,,,,,,,,,,
4868,王腰,王禔私印,4,1,,,,1,,,,,,
4869,梁清标,蕉林秘玩,4,,,,,,,,,,,
4870,陈衡恪,能亦丑,3,,,,,,,,,,,
4871,潘天寿,颐者指墨,4,,,,,,,,,,,
4872,齐白石,齐伯子,3,,,,,,,,,,,
4873,丁仁,鹤庐,2,,,,,,,,,,,
4874,爱新觉罗·弘历,乾隆宸翰,4,,,,,,,,,,,
4875,梁清标,秋碧,2,,,,,,,,,,,
4876,王穉登,解嘲堂印,4,1,,,,,,,,,,
4877,陆俨少,俨少,2,,,,,,,,,,,
4878,郑旼,郑旼之印,4,1,,1,,,,,,,,
4879,方薰,方薰印,3,1,,,,,,,,,,
4880,章绶衔,翼诜堂章氏所得之书,9,,,,,,,,,,,
4881,李普同,光前,2,,,,,,,,,,,
4882,费新我,吴兴费氏,4,,,,,,,,,,,
4883,钱镜塘,镜塘藏扇,4,,,,,,,,,,,
4884,朱屺瞻,朱屺瞻,3,,,,,,,,,,,
4885,齐白石,九九翁,3,,,,,,,,,,,
4886,范守知,厚庵翰墨,4,,,,,,,,,,,
4887,张燮,味经,2,,,,,,,,,,,
4888,陈衡恪,师曾,2,,,,,,,,,,,
4889,萧云从,萧云从,3,,,,,,,,,,,
